n_neighbor,weights,p,Algorithm,Leaf size,Accuracy,F1 Score
2,uniform,3,auto,20,0.6816846229187071,0.6790163267646917
2,uniform,3,auto,30,0.6816846229187071,0.6790163267646917
2,uniform,3,ball_tree,20,0.6816846229187071,0.6790163267646917
2,uniform,3,ball_tree,30,0.6816846229187071,0.6790163267646917
2,uniform,3,kd_tree,20,0.6816846229187071,0.6790163267646917
2,uniform,3,kd_tree,30,0.6816846229187071,0.6790163267646917
2,uniform,3,brute,20,0.6816846229187071,0.6790163267646917
2,uniform,3,brute,30,0.6816846229187071,0.6790163267646917
3,uniform,3,auto,20,0.6949069539666993,0.6925414256471714
3,uniform,3,auto,30,0.6949069539666993,0.6925414256471714
3,uniform,3,ball_tree,20,0.6949069539666993,0.6925414256471714
3,uniform,3,ball_tree,30,0.6949069539666993,0.6925414256471714
3,uniform,3,kd_tree,20,0.6949069539666993,0.6925414256471714
3,uniform,3,kd_tree,30,0.6949069539666993,0.6925414256471714
3,uniform,3,brute,20,0.6949069539666993,0.6925414256471714
3,uniform,3,brute,30,0.6949069539666993,0.6925414256471714
4,uniform,3,auto,20,0.6870714985308521,0.6830965396787635
4,uniform,3,auto,30,0.6870714985308521,0.6830965396787635
4,uniform,3,ball_tree,20,0.6870714985308521,0.6830965396787635
4,uniform,3,ball_tree,30,0.6870714985308521,0.6830965396787635
4,uniform,3,kd_tree,20,0.6870714985308521,0.6830965396787635
4,uniform,3,kd_tree,30,0.6870714985308521,0.6830965396787635
4,uniform,3,brute,20,0.6870714985308521,0.6830965396787635
4,uniform,3,brute,30,0.6870714985308521,0.6830965396787635
5,uniform,3,auto,20,0.6856023506366308,0.6820250482201067
5,uniform,3,auto,30,0.6856023506366308,0.6820250482201067
5,uniform,3,ball_tree,20,0.6856023506366308,0.6820250482201067
5,uniform,3,ball_tree,30,0.6856023506366308,0.6820250482201067
5,uniform,3,kd_tree,20,0.6856023506366308,0.6820250482201067
5,uniform,3,kd_tree,30,0.6856023506366308,0.6820250482201067
5,uniform,3,brute,20,0.6856023506366308,0.6820250482201067
5,uniform,3,brute,30,0.6856023506366308,0.6820250482201067
6,uniform,3,auto,20,0.6841332027424094,0.6809731797805908
6,uniform,3,auto,30,0.6841332027424094,0.6809731797805908
6,uniform,3,ball_tree,20,0.6841332027424094,0.6809731797805908
6,uniform,3,ball_tree,30,0.6841332027424094,0.6809731797805908
6,uniform,3,kd_tree,20,0.6841332027424094,0.6809731797805908
6,uniform,3,kd_tree,30,0.6841332027424094,0.6809731797805908
6,uniform,3,brute,20,0.6841332027424094,0.6809731797805908
6,uniform,3,brute,30,0.6841332027424094,0.6809731797805908
7,uniform,3,auto,20,0.681439764936337,0.6765832646578069
7,uniform,3,auto,30,0.681439764936337,0.6765832646578069
7,uniform,3,ball_tree,20,0.681439764936337,0.6765832646578069
7,uniform,3,ball_tree,30,0.681439764936337,0.6765832646578069
7,uniform,3,kd_tree,20,0.681439764936337,0.6765832646578069
7,uniform,3,kd_tree,30,0.681439764936337,0.6765832646578069
7,uniform,3,brute,20,0.681439764936337,0.6765832646578069
7,uniform,3,brute,30,0.681439764936337,0.6765832646578069
8,uniform,3,auto,20,0.6792360430950048,0.6749569353800577
8,uniform,3,auto,30,0.6792360430950048,0.6749569353800577
8,uniform,3,ball_tree,20,0.6792360430950048,0.6749569353800577
8,uniform,3,ball_tree,30,0.6792360430950048,0.6749569353800577
8,uniform,3,kd_tree,20,0.6792360430950048,0.6749569353800577
8,uniform,3,kd_tree,30,0.6792360430950048,0.6749569353800577
8,uniform,3,brute,20,0.6792360430950048,0.6749569353800577
8,uniform,3,brute,30,0.6792360430950048,0.6749569353800577
9,uniform,3,auto,20,0.6792360430950048,0.6737373816367854
9,uniform,3,auto,30,0.6792360430950048,0.6737373816367854
9,uniform,3,ball_tree,20,0.6792360430950048,0.6737373816367854
9,uniform,3,ball_tree,30,0.6792360430950048,0.6737373816367854
9,uniform,3,kd_tree,20,0.6792360430950048,0.6737373816367854
9,uniform,3,kd_tree,30,0.6792360430950048,0.6737373816367854
9,uniform,3,brute,20,0.6792360430950048,0.6737373816367854
9,uniform,3,brute,30,0.6792360430950048,0.6737373816367854
1,uniform,4,auto,20,0.7042115572967679,0.7029855725300479
1,uniform,4,auto,30,0.7042115572967679,0.7029855725300479
1,uniform,4,ball_tree,20,0.7042115572967679,0.7029855725300479
1,uniform,4,ball_tree,30,0.7042115572967679,0.7029855725300479
1,uniform,4,kd_tree,20,0.7042115572967679,0.7029855725300479
1,uniform,4,kd_tree,30,0.7042115572967679,0.7029855725300479
1,uniform,4,brute,20,0.7042115572967679,0.7029855725300479
1,uniform,4,brute,30,0.7042115572967679,0.7029855725300479
2,uniform,4,auto,20,0.6711557296767875,0.6672808308009901
2,uniform,4,auto,30,0.6711557296767875,0.6672808308009901
2,uniform,4,ball_tree,20,0.6711557296767875,0.6672808308009901
2,uniform,4,ball_tree,30,0.6711557296767875,0.6672808308009901
2,uniform,4,kd_tree,20,0.6711557296767875,0.6672808308009901
2,uniform,4,kd_tree,30,0.6711557296767875,0.6672808308009901
2,uniform,4,brute,20,0.6711557296767875,0.6672808308009901
2,uniform,4,brute,30,0.6711557296767875,0.6672808308009901
3,uniform,4,auto,20,0.6821743388834476,0.6795076741213818
3,uniform,4,auto,30,0.6821743388834476,0.6795076741213818
3,uniform,4,ball_tree,20,0.6821743388834476,0.6795076741213818
3,uniform,4,ball_tree,30,0.6821743388834476,0.6795076741213818
3,uniform,4,kd_tree,20,0.6821743388834476,0.6795076741213818
3,uniform,4,kd_tree,30,0.6821743388834476,0.6795076741213818
3,uniform,4,brute,20,0.6821743388834476,0.6795076741213818
3,uniform,4,brute,30,0.6821743388834476,0.6795076741213818
4,uniform,4,auto,20,0.6753183153770813,0.6710762513965209
4,uniform,4,auto,30,0.6753183153770813,0.6710762513965209
4,uniform,4,ball_tree,20,0.6753183153770813,0.6710762513965209
4,uniform,4,ball_tree,30,0.6753183153770813,0.6710762513965209
4,uniform,4,kd_tree,20,0.6753183153770813,0.6710762513965209
4,uniform,4,kd_tree,30,0.6753183153770813,0.6710762513965209
4,uniform,4,brute,20,0.6753183153770813,0.6710762513965209
4,uniform,4,brute,30,0.6753183153770813,0.6710762513965209
5,uniform,4,auto,20,0.6733594515181195,0.6691908546901363
5,uniform,4,auto,30,0.6733594515181195,0.6691908546901363
5,uniform,4,ball_tree,20,0.6733594515181195,0.6691908546901363
5,uniform,4,ball_tree,30,0.6733594515181195,0.6691908546901363
5,uniform,4,kd_tree,20,0.6733594515181195,0.6691908546901363
5,uniform,4,kd_tree,30,0.6733594515181195,0.6691908546901363
5,uniform,4,brute,20,0.6733594515181195,0.6691908546901363
5,uniform,4,brute,30,0.6733594515181195,0.6691908546901363
6,uniform,4,auto,20,0.6733594515181195,0.6698915660161684
6,uniform,4,auto,30,0.6733594515181195,0.6698915660161684
6,uniform,4,ball_tree,20,0.6733594515181195,0.6698915660161684
6,uniform,4,ball_tree,30,0.6733594515181195,0.6698915660161684
6,uniform,4,kd_tree,20,0.6733594515181195,0.6698915660161684
6,uniform,4,kd_tree,30,0.6733594515181195,0.6698915660161684
6,uniform,4,brute,20,0.6733594515181195,0.6698915660161684
6,uniform,4,brute,30,0.6733594515181195,0.6698915660161684
7,uniform,4,auto,20,0.6714005876591577,0.666302149634875
7,uniform,4,auto,30,0.6714005876591577,0.666302149634875
7,uniform,4,ball_tree,20,0.6714005876591577,0.666302149634875
7,uniform,4,ball_tree,30,0.6714005876591577,0.666302149634875
7,uniform,4,kd_tree,20,0.6714005876591577,0.666302149634875
7,uniform,4,kd_tree,30,0.6714005876591577,0.666302149634875
7,uniform,4,brute,20,0.6714005876591577,0.666302149634875
7,uniform,4,brute,30,0.6714005876591577,0.666302149634875
8,uniform,4,auto,20,0.6714005876591577,0.6666249407431842
8,uniform,4,auto,30,0.6714005876591577,0.6666249407431842
8,uniform,4,ball_tree,20,0.6714005876591577,0.6666249407431842
8,uniform,4,ball_tree,30,0.6714005876591577,0.6666249407431842
8,uniform,4,kd_tree,20,0.6714005876591577,0.6666249407431842
8,uniform,4,kd_tree,30,0.6714005876591577,0.6666249407431842
8,uniform,4,brute,20,0.6714005876591577,0.6666249407431842
8,uniform,4,brute,30,0.6714005876591577,0.6666249407431842
9,uniform,4,auto,20,0.6674828599412341,0.661420104837947
9,uniform,4,auto,30,0.6674828599412341,0.661420104837947
9,uniform,4,ball_tree,20,0.6674828599412341,0.661420104837947
9,uniform,4,ball_tree,30,0.6674828599412341,0.661420104837947
9,uniform,4,kd_tree,20,0.6674828599412341,0.661420104837947
9,uniform,4,kd_tree,30,0.6674828599412341,0.661420104837947
9,uniform,4,brute,20,0.6674828599412341,0.661420104837947
9,uniform,4,brute,30,0.6674828599412341,0.661420104837947
1,uniform,5,auto,20,0.6980901077375122,0.6969085956142834
1,uniform,5,auto,30,0.6980901077375122,0.6969085956142834
1,uniform,5,ball_tree,20,0.6980901077375122,0.6969085956142834
1,uniform,5,ball_tree,30,0.6980901077375122,0.6969085956142834
1,uniform,5,kd_tree,20,0.6980901077375122,0.6969085956142834
1,uniform,5,kd_tree,30,0.6980901077375122,0.6969085956142834
1,uniform,5,brute,20,0.6980901077375122,0.6969085956142834
